WORKCENTER,WEEK_ENDING,WKOR_PRODUCT_CODE,SumOfstdhours,SumOfOThours,SumOfdthrs,SumOftotalhrs,comp_work,PTB,defects,SumOfREWORK_HRS,SumOfREPAIR_HRS,SumOfREFAB_HRS,totrwkhrs,total_def_cost
J0044301,2018/09/01,MG,2.2,0.1,0,2.3,,0,,,,,,
J0044301,2018/09/08,MG,4.8,0,5.4,10.2,,0,,,,,,
J0044301,2018/09/08,WA,3,0,0,3,,0,,,,,,
J0044301,2018/09/15,CA,0,0,4.4,4.4,,0,,,,,,
J0044301,2018/09/15,WA,0.4,0.1,0,0.5,,0,,,,,,
J0044301,2018/09/22,WA,0,3.7,0,3.7,,0,,,,,,
J0044301,2018/09/29,MG,1.3,0,3.6,4.9,,0,,,,,,
J0044301,2018/09/29,WA,4,0,1.2,5.2,,0,,,,,,
J0044301,2018/10/13,MG,0.2,0,0,0.2,,0,,,,,,
J0044301,2018/10/20,MG,8.6,0.8,0,9.4,,0,,,,,,
J0044301,2018/10/27,MG,11.2,6.5,3,20.7,,0,,,,,,
J0044301,2018/10/27,WA,1.7,0,0,1.7,,0,,,,,,
J0044301,2018/11/03,MG,5.7,4.4,0,10.1,,0,,,,,,
J0044301,2018/11/10,MG,4.5,0,0.1,4.6,,0,,,,,,
J0044301,2018/11/10,WA,1.1,0,1.2,2.3,,0,,,,,,
J0044301,2018/11/17,MG,0.5,0,0,0.5,,0,,,,,,
J0044301,2018/11/24,MG,8.8,11.6,0,20.4,,0,,,,,,
J0044301,2018/11/24,WA,0,0,0,0,,#DIV/0!,,,,,,
J0044301,2018/12/01,MG,82.9,17.2,4.1,104.2,,0,,,,,,
J0044301,2018/12/08,CA,6.1,0,0,6.1,,0,,,,,,
J0044301,2018/12/08,MG,7.6,8.6,7.2,23.4,,0,,,,,,
J0044301,2018/12/15,CA,1,0.9,2.4,4.3,,0,,,,,,
J0044301,2018/12/15,WA,0.4,0,0,0.4,,0,,,,,,
J0044301,2018/12/29,MG,0,0,11.1,11.1,,0,,,,,,
J0044301,2018/12/29,WA,0,0,0.2,0.2,,0,,,,,,
J0044301,2019/01/12,MG,0,0,0,0,,#DIV/0!,,,,,,
J0044301,2019/01/12,WA,0.1,1.3,0,1.4,,0,,,,,,
J0044301,2019/01/19,MG,13.3,0,0,13.3,,0,,,,,,
J0044301,2019/01/26,MG,3,0,0,3,,0,,,,,,
J0044301,2019/01/26,WA,0,0.2,0,0.2,,0,,,,,,
J0044301,2019/02/02,WA,0,0,0,0,,#DIV/0!,,,,,,
J0044301,2019/02/09,CA,2.1,0,0,2.1,,0,,,,,,
J0044301,2019/02/09,MG,11.8,0.1,0,11.9,,0,,,,,,
J0044301,2019/02/09,WA,1.7,0.1,0,1.8,,0,,,,,,
J0044301,2019/02/16,MG,7.8,0,0,7.8,,0,,,,,,
J0044301,2019/02/23,MG,14.5,3.5,0,18,,0,,,,,,
J0044301,2019/02/23,WA,4.1,4.3,0,8.4,,0,,,,,,
J0044301,2019/03/02,MG,1,5.8,0,6.8,,0,,,,,,
J0044301,2019/03/02,WA,5.1,0,0,5.1,,0,,,,,,
J0044301,2019/03/09,MG,10.5,0,0,10.5,,0,,,,,,
J0044301,2019/03/16,MG,0.7,0,0,0.7,,0,,,,,,
J0044301,2019/03/16,WA,4.1,1.5,0,5.6,,0,,,,,,
J0044301,2019/03/30,MG,6.5,0,0,6.5,,0,,,,,,
